;lat;lon;ciudad;zona;localidad;barrio;habitaciones;baños;area;area_privada;precio;moneda;tipo_propiedad;tipo_operacion
0;4.703;-74.057;Bogotá D.C;Zona Noroccidental;Suba;El Batán;5.0;3.0;175.0;253.0;800000000.0;COP;Casa;Venta
1;4.724;-74.024;Bogotá D.C;Zona Norte;Usaquén;Bosque De Pinos;3.0;4.0;550.0;369.0;1800000000.0;COP;Casa;Venta
2;4.728;-74.046;Bogotá D.C;Zona Norte;Usaquén;Cedritos;2.0;1.0;50.0;50.0;240000000.0;COP;Apartamento;Venta
3;4.6339999999999995;-74.064;Bogotá D.C;Zona Chapinero;Chapinero;Chapinero Central;1.0;1.0;31.0;31.0;180000000.0;COP;Apartamento;Venta
4;4.727;-74.036;Bogotá D.C;Zona Norte;Usaquén;Cedritos;1.0;2.0;74.0;74.0;550000000.0;COP;Apartamento;Venta
5;4.643;-74.14;Bogotá D.C;Zona Suroccidental;Kennedy;Castilla;3.0;2.0;55.0;53.0;225000000.0;COP;Apartamento;Venta
6;4.725;-74.041;Bogotá D.C;Zona Norte;Usaquén;Cedritos;3.0;3.0;94.0;94.0;400000000.0;COP;Apartamento;Venta
7;4.67;-74.045;Bogotá D.C;Zona Chapinero;Chapinero;Chico Reservado;2.0;3.0;140.0;140.0;1550000000.0;COP;Apartamento;Venta
8;4.7010000000000005;-74.029;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;3.0;3.0;160.0;160.0;1250000000.0;COP;Apartamento;Venta
9;4.729;-74.066;Bogotá D.C;Zona Noroccidental;Suba;Colina Campestre;3.0;3.0;92.0;92.0;360000000.0;COP;Apartamento;Venta
10;4.699;-74.047;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;3.0;4.0;170.0;170.0;1280000000.0;COP;Apartamento;Venta
11;4.731;-74.031;Bogotá D.C;Zona Norte;Usaquén;Barrancas;3.0;3.0;109.0;109.0;490000000.0;COP;Apartamento;Venta
12;4.6419999999999995;-74.057;Bogotá D.C;Zona Chapinero;Chapinero;El Castillo;1.0;2.0;41.0;41.0;285000000.0;COP;Apartamento;Venta
13;4.659;-74.048;Bogotá D.C;Zona Chapinero;Chapinero;Los Rosales;2.0;3.0;133.0;133.0;870000000.0;COP;Apartamento;Venta
14;4.677;-74.043;Bogotá D.C;Zona Chapinero;Chapinero;Chico Norte;3.0;4.0;220.0;220.0;1800000000.0;COP;Apartamento;Venta
15;4.695;-74.066;Bogotá D.C;Zona Noroccidental;Suba;Puente Largo;3.0;3.0;140.0;140.0;550000000.0;COP;Apartamento;Venta
16;4.702;-74.06;Bogotá D.C;Zona Noroccidental;Suba;Alhambra;4.0;4.0;322.0;279.0;950000000.0;COP;Casa;Venta
17;4.644;-74.127;Bogotá D.C;Zona Suroccidental;Kennedy;Villa Alsacia;3.0;2.0;58.0;58.0;240000000.0;COP;Apartamento;Venta
18;4.692;-74.031;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;1.0;1.0;51.0;51.0;357350000.0;COP;Apartamento;Venta
19;4.692;-74.031;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;2.0;2.0;65.0;65.0;448845000.0;COP;Apartamento;Venta
20;4.7219999999999995;-74.031;Bogotá D.C;Zona Norte;Usaquén;Cedritos;2.0;2.0;77.0;77.0;315000000.0;COP;Apartamento;Venta
21;4.697;-74.041;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;2.0;2.0;75.0;75.0;350000000.0;COP;Apartamento;Venta
22;4.709;-74.04899999999999;Bogotá D.C;Zona Norte;Usaquén;La Calleja;2.0;2.0;85.0;85.0;450000000.0;COP;Apartamento;Venta
23;4.73;-74.028;Bogotá D.C;Zona Norte;Usaquén;Barrancas;3.0;2.0;51.0;51.0;215000000.0;COP;Apartamento;Venta
24;4.708;-74.031;Bogotá D.C;Zona Norte;Usaquén;Bella Suiza;1.0;2.0;59.0;59.0;380000000.0;COP;Apartamento;Venta
25;4.718;-74.036;Bogotá D.C;Zona Norte;Usaquén;Cedritos;3.0;2.0;110.0;110.0;750000000.0;COP;Apartamento;Venta
26;4.696000000000001;-74.035;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;3.0;2.0;114.0;114.0;520000000.0;COP;Apartamento;Venta
27;4.715;-74.05;Bogotá D.C;Zona Norte;Usaquén;La Calleja;3.0;2.0;142.0;142.0;599000000.0;COP;Apartamento;Venta
28;4.728;-74.038;Bogotá D.C;Zona Norte;Usaquén;Cedritos;4.0;3.0;140.0;140.0;520000000.0;COP;Casa;Venta
29;4.715;-74.04899999999999;Bogotá D.C;Zona Norte;Usaquén;La Calleja;4.0;3.0;99.0;99.0;480000000.0;COP;Apartamento;Venta
30;4.7219999999999995;-74.03399999999999;Bogotá D.C;Zona Norte;Usaquén;Cedritos;3.0;3.0;82.0;82.0;370000000.0;COP;Apartamento;Venta
31;4.715;-74.05;Bogotá D.C;Zona Norte;Usaquén;La Calleja;3.0;3.0;122.0;122.0;659000000.0;COP;Apartamento;Venta
32;4.689;-74.05199999999999;Bogotá D.C;Zona Norte;Usaquén;Chico Navarra;4.0;4.0;359.0;359.0;1600000000.0;COP;Apartamento;Venta
33;4.709;-74.05;Bogotá D.C;Zona Norte;Usaquén;La Calleja;3.0;4.0;113.0;113.0;620000000.0;COP;Apartamento;Venta
34;4.691;-74.045;Bogotá D.C;Zona Norte;Usaquén;Santa Paula;4.0;5.0;164.0;164.0;670000000.0;COP;Apartamento;Venta
35;4.7010000000000005;-74.033;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;5.0;5.0;318.0;318.0;1400000000.0;COP;Apartamento;Venta
36;4.677;-74.04899999999999;Bogotá D.C;Zona Chapinero;Chapinero;Chico Reservado;1.0;1.0;61.0;61.0;345000000.0;COP;Apartamento;Venta
37;4.646;-74.055;Bogotá D.C;Zona Chapinero;Chapinero;Chapinero Alto;3.0;2.0;90.0;90.0;670000000.0;COP;Apartamento;Venta
38;4.681;-74.055;Bogotá D.C;Zona Chapinero;Chapinero;Chico Reservado;3.0;2.0;93.0;93.0;410000000.0;COP;Apartamento;Venta
39;4.686;-74.045;Bogotá D.C;Zona Chapinero;Chapinero;El Chicó;3.0;3.0;113.0;113.0;550000000.0;COP;Apartamento;Venta
40;4.664;-74.048;Bogotá D.C;Zona Chapinero;Chapinero;El Retiro;3.0;3.0;215.0;215.0;1200000000.0;COP;Apartamento;Venta
41;4.676;-74.056;Bogotá D.C;Zona Chapinero;Chapinero;Chico Reservado;4.0;3.0;141.0;141.0;980000000.0;COP;Apartamento;Venta
42;4.678;-74.051;Bogotá D.C;Zona Chapinero;Chapinero;Chico Norte;3.0;3.0;171.0;171.0;2750000000.0;COP;Apartamento;Venta
43;4.6530000000000005;-74.061;Bogotá D.C;Zona Chapinero;Chapinero;Quinta Camacho;4.0;4.0;374.0;374.0;1850000000.0;COP;Casa;Venta
44;4.676;-74.042;Bogotá D.C;Zona Chapinero;Chapinero;Chico Reservado;3.0;4.0;225.0;225.0;1550000000.0;COP;Apartamento;Venta
45;4.652;-74.051;Bogotá D.C;Zona Chapinero;Chapinero;Los Rosales;4.0;4.0;242.0;242.0;1460000000.0;COP;Apartamento;Venta
46;4.678;-74.042;Bogotá D.C;Zona Chapinero;Chapinero;Chico Reservado;5.0;5.0;308.0;308.0;3300000000.0;COP;Apartamento;Venta
47;4.6610000000000005;-74.13;Bogotá D.C;Zona Occidental;Fontibón;Hayuelos;3.0;2.0;71.0;71.0;250000000.0;COP;Apartamento;Venta
48;4.698;-74.067;Bogotá D.C;Zona Noroccidental;Suba;Puente Largo;3.0;2.0;96.0;96.0;485000000.0;COP;Apartamento;Venta
49;4.702;-74.06;Bogotá D.C;Zona Noroccidental;Suba;Alhambra;4.0;4.0;322.0;279.0;950000000.0;COP;Casa;Venta
50;4.728;-74.028;Bogotá D.C;Zona Norte;Usaquén;Cedritos;5.0;3.0;203.0;203.0;605000000.0;COP;Casa;Venta
51;4.666;-74.05;Bogotá D.C;Zona Chapinero;Chapinero;El Retiro;3.0;2.0;142.0;142.0;980000000.0;COP;Apartamento;Venta
52;4.718;-74.072;Bogotá D.C;Zona Noroccidental;Suba;Las Villas;4.0;4.0;386.0;218.0;780000000.0;COP;Casa;Venta
53;4.632;-74.141;Bogotá D.C;Zona Suroccidental;Kennedy;Castilla;4.0;2.0;70.0;81.0;395000000.0;COP;Casa;Venta
54;4.641;-74.153;Bogotá D.C;Zona Suroccidental;Kennedy;Castilla;3.0;2.0;48.0;45.0;175000000.0;COP;Apartamento;Venta
55;4.627;-74.14699999999999;Bogotá D.C;Zona Suroccidental;Kennedy;Techo;2.0;1.0;47.0;47.0;150000000.0;COP;Apartamento;Venta
56;4.694;-74.043;Bogotá D.C;Zona Norte;Usaquén;Santa Paula;2.0;2.0;80.0;80.0;510000000.0;COP;Apartamento;Venta
57;4.709;-74.04899999999999;Bogotá D.C;Zona Norte;Usaquén;La Calleja;2.0;2.0;85.0;85.0;450000000.0;COP;Apartamento;Venta
58;4.724;-74.038;Bogotá D.C;Zona Norte;Usaquén;Cedritos;3.0;3.0;86.0;87.0;620000000.0;COP;Apartamento;Venta
59;4.727;-74.046;Bogotá D.C;Zona Norte;Usaquén;Cedritos;2.0;3.0;77.0;77.0;390000000.0;COP;Apartamento;Venta
60;4.687;-74.02600000000001;Bogotá D.C;Zona Norte;Usaquén;Santa Ana;3.0;4.0;628.0;628.0;3300000000.0;COP;Casa;Venta
61;4.619;-74.066;Bogotá D.C;Zona Centro;Santa Fe;Centro Internacional;1.0;1.0;26.0;26.0;270090412.0;COP;Apartamento;Venta
62;4.658;-74.061;Bogotá D.C;Zona Chapinero;Chapinero;Quinta Camacho;1.0;1.0;48.0;48.0;416438000.0;COP;Apartamento;Venta
63;4.687;-74.043;Bogotá D.C;Zona Chapinero;Chapinero;El Chicó;3.0;2.0;95.0;95.0;560000000.0;COP;Apartamento;Venta
64;4.646;-74.065;Bogotá D.C;Zona Chapinero;Chapinero;Chapinero Central;1.0;2.0;46.0;46.0;330000000.0;COP;Apartamento;Venta
65;4.637;-74.1;Bogotá D.C;Zona Occidental;Fontibón;Ciudad Salitre;3.0;3.0;89.0;96.0;720000000.0;COP;Apartamento;Venta
66;4.69;-74.061;Bogotá D.C;Zona Noroccidental;Suba;Pasadena ;1.0;2.0;61.0;61.0;381500000.0;COP;Apartamento;Venta
67;4.705;-74.056;Bogotá D.C;Zona Noroccidental;Suba;El Batán;4.0;3.0;193.0;286.0;1200000000.0;COP;Casa;Venta
68;4.64;-74.146;Bogotá D.C;Zona Suroccidental;Kennedy;Castilla;4.0;2.0;42.0;68.0;210000000.0;COP;Casa;Venta
69;4.68;-74.055;Bogotá D.C;Zona Chapinero;Chapinero;El Chicó;1.0;2.0;65.0;65.0;630000000.0;COP;Apartamento;Venta
70;4.66;-74.04899999999999;Bogotá D.C;Zona Chapinero;Chapinero;Los Rosales;2.0;2.0;96.0;96.0;690000000.0;COP;Apartamento;Venta
71;4.68;-74.055;Bogotá D.C;Zona Chapinero;Chapinero;El Chicó;2.0;2.0;99.0;99.0;850000000.0;COP;Apartamento;Venta
72;4.708;-74.044;Bogotá D.C;Zona Norte;Usaquén;La Calleja;3.0;4.0;182.0;182.0;1100000000.0;COP;Apartamento;Venta
73;4.672;-74.042;Bogotá D.C;Zona Chapinero;Chapinero;El Chicó;3.0;4.0;211.0;211.0;1800000000.0;COP;Apartamento;Venta
74;4.676;-74.10600000000001;Bogotá D.C;Zona Occidental;Engativa;Normandia;3.0;2.0;94.0;94.0;550000000.0;COP;Apartamento;Venta
75;4.678;-74.05;Bogotá D.C;Zona Chapinero;Chapinero;Chico Norte;3.0;4.0;298.0;197.0;1800000000.0;COP;Casa;Venta
76;4.662;-74.113;Bogotá D.C;Zona Occidental;Fontibón;Ciudad Salitre;3.0;4.0;158.0;158.0;1500000000.0;COP;Apartamento;Venta
77;4.7589999999999995;-74.043;Bogotá D.C;Zona Norte;Usaquén;San Antonio Norte;3.0;2.0;70.0;70.0;248000000.0;COP;Apartamento;Venta
78;4.705;-74.032;Bogotá D.C;Zona Norte;Usaquén;Bella Suiza;3.0;3.0;120.0;120.0;685000000.0;COP;Apartamento;Venta
79;4.705;-74.03;Bogotá D.C;Zona Norte;Usaquén;Bella Suiza;3.0;3.0;154.0;154.0;830000000.0;COP;Apartamento;Venta
80;4.697;-74.04;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;1.0;2.0;65.0;65.0;415000000.0;COP;Apartamento;Venta
81;4.673;-74.043;Bogotá D.C;Zona Chapinero;Chapinero;Chico Reservado;2.0;4.0;150.0;110.0;1700000000.0;COP;Apartamento;Venta
82;4.665;-74.116;Bogotá D.C;Zona Occidental;Fontibón;Modelia;5.0;4.0;172.0;172.0;950000000.0;COP;Casa;Venta
83;4.652;-74.11;Bogotá D.C;Zona Occidental;Fontibón;Ciudad Salitre;1.0;2.0;57.0;57.0;565000000.0;COP;Apartamento;Venta
84;4.678999999999999;-74.044;Bogotá D.C;Zona Chapinero;Chapinero;Chico Reservado;2.0;2.0;104.0;104.0;570000000.0;COP;Apartamento;Venta
85;4.6610000000000005;-74.117;Bogotá D.C;Zona Occidental;Fontibón;Modelia;3.0;2.0;93.0;93.0;520000000.0;COP;Apartamento;Venta
86;4.694;-74.065;Bogotá D.C;Zona Noroccidental;Suba;Puente Largo;3.0;2.0;69.0;69.0;340000000.0;COP;Apartamento;Venta
87;4.678999999999999;-74.045;Bogotá D.C;Zona Chapinero;Chapinero;Chico Norte;3.0;3.0;194.0;140.0;780000000.0;COP;Apartamento;Venta
88;4.769;-74.03399999999999;Bogotá D.C;Zona Norte;Usaquén;San Antonio Norte;3.0;3.0;109.0;109.0;350000000.0;COP;Casa;Venta
89;4.656000000000001;-74.062;Bogotá D.C;Zona Chapinero;Chapinero;Quinta Camacho;12.0;6.0;515.0;734.0;2600000000.0;COP;Casa;Venta
90;4.713;-74.05;Bogotá D.C;Zona Norte;Usaquén;La Calleja;3.0;3.0;128.0;128.0;700000000.0;COP;Apartamento;Venta
91;4.677;-74.055;Bogotá D.C;Zona Chapinero;Chapinero;Chico Reservado;3.0;4.0;94.0;94.0;520000000.0;COP;Apartamento;Venta
92;4.665;-74.046;Bogotá D.C;Zona Chapinero;Chapinero;Los Rosales;3.0;3.0;225.0;225.0;1800000000.0;COP;Apartamento;Venta
93;4.678;-74.057;Bogotá D.C;Zona Chapinero;Chapinero;El Chicó;3.0;3.0;128.0;140.0;995000000.0;COP;Apartamento;Venta
94;4.68;-74.055;Bogotá D.C;Zona Chapinero;Chapinero;Chico Reservado;3.0;4.0;170.0;170.0;1250000000.0;COP;Apartamento;Venta
95;4.702;-74.06;Bogotá D.C;Zona Noroccidental;Suba;Alhambra;4.0;4.0;322.0;279.0;950000000.0;COP;Casa;Venta
96;4.645;-74.062;Bogotá D.C;Zona Chapinero;Chapinero;Chapinero Central;1.0;1.0;38.0;38.0;355000000.0;COP;Apartamento;Venta
97;4.68;-74.055;Bogotá D.C;Zona Chapinero;Chapinero;Chico Norte;2.0;2.0;92.0;92.0;750000000.0;COP;Apartamento;Venta
98;4.659;-74.047;Bogotá D.C;Zona Chapinero;Chapinero;Los Rosales;2.0;2.0;83.0;83.0;790000000.0;COP;Apartamento;Venta
99;4.678999999999999;-74.041;Bogotá D.C;Zona Chapinero;Chapinero;Chico Reservado;3.0;4.0;140.0;140.0;1050000000.0;COP;Apartamento;Venta
100;4.684;-74.05199999999999;Bogotá D.C;Zona Chapinero;Chapinero;Chico Norte;4.0;4.0;169.0;169.0;1100000000.0;COP;Apartamento;Venta
101;4.726;-74.042;Bogotá D.C;Zona Norte;Usaquén;Cedritos;1.0;1.0;38.0;38.0;240000000.0;COP;Apartamento;Venta
102;4.709;-74.04899999999999;Bogotá D.C;Zona Norte;Usaquén;La Calleja;2.0;2.0;85.0;85.0;450000000.0;COP;Apartamento;Venta
103;4.683;-74.05;Bogotá D.C;Zona Chapinero;Chapinero;Chico Norte;2.0;3.0;90.0;90.0;630000000.0;COP;Apartamento;Venta
104;4.732;-74.074;Bogotá D.C;Zona Noroccidental;Suba;Gratamira;3.0;3.0;114.0;114.0;650000000.0;COP;Apartamento;Venta
105;4.703;-74.057;Bogotá D.C;Zona Noroccidental;Suba;El Batán;5.0;3.0;175.0;253.0;800000000.0;COP;Casa;Venta
106;4.73;-74.1;Bogotá D.C;Zona Noroccidental;Suba;Lago De Suba;11.0;8.0;90.0;270.0;650000000.0;COP;Casa;Venta
107;4.6930000000000005;-74.062;Bogotá D.C;Zona Noroccidental;Suba;Pasadena ;2.0;2.0;104.0;73.0;550000000.0;COP;Apartamento;Venta
108;4.697;-74.041;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;2.0;2.0;75.0;75.0;350000000.0;COP;Apartamento;Venta
109;4.692;-74.041;Bogotá D.C;Zona Norte;Usaquén;Santa Paula;3.0;4.0;317.0;257.0;1900000000.0;COP;Casa;Venta
110;4.677;-74.04;Bogotá D.C;Zona Chapinero;Chapinero;Chico Norte Ii;2.0;3.0;242.0;182.0;1800000000.0;COP;Apartamento;Venta
111;4.677;-74.055;Bogotá D.C;Zona Chapinero;Chapinero;Chico Reservado;3.0;4.0;94.0;94.0;520000000.0;COP;Apartamento;Venta
112;4.656000000000001;-74.04899999999999;Bogotá D.C;Zona Chapinero;Chapinero;Los Rosales;3.0;4.0;220.0;220.0;1300000000.0;COP;Apartamento;Venta
113;4.657;-74.04899999999999;Bogotá D.C;Zona Chapinero;Chapinero;Los Rosales;3.0;4.0;360.0;210.0;2150000000.0;COP;Apartamento;Venta
114;4.672;-74.048;Bogotá D.C;Zona Chapinero;Chapinero;Chico Reservado;3.0;2.0;206.0;191.0;1680000000.0;COP;Apartamento;Venta
115;4.68;-74.055;Bogotá D.C;Zona Chapinero;Chapinero;Chico Reservado;3.0;4.0;170.0;170.0;1250000000.0;COP;Apartamento;Venta
116;4.643;-74.057;Bogotá D.C;Zona Chapinero;Chapinero;Chapinero Alto;3.0;4.0;229.0;229.0;1800000000.0;COP;Apartamento;Venta
117;4.69;-74.045;Bogotá D.C;Zona Chapinero;Chapinero;El Chicó;3.0;2.0;128.0;128.0;950000000.0;COP;Apartamento;Venta
118;4.6610000000000005;-74.047;Bogotá D.C;Zona Chapinero;Chapinero;Los Rosales;3.0;3.0;240.0;240.0;1800000000.0;COP;Apartamento;Venta
119;4.671;-74.044;Bogotá D.C;Zona Chapinero;Chapinero;Chico Norte Ii;4.0;6.0;541.0;443.0;8000000000.0;COP;Apartamento;Venta
120;4.656000000000001;-74.04899999999999;Bogotá D.C;Zona Chapinero;Chapinero;Los Rosales;4.0;4.0;333.0;301.0;2500000000.0;COP;Apartamento;Venta
121;4.713;-74.05;Bogotá D.C;Zona Norte;Usaquén;La Calleja;3.0;3.0;99.0;90.0;470000000.0;COP;Apartamento;Venta
122;4.705;-74.074;Bogotá D.C;Zona Noroccidental;Suba;Niza;5.0;4.0;368.0;263.0;980000000.0;COP;Casa;Venta
123;4.705;-74.074;Bogotá D.C;Zona Noroccidental;Suba;Lagos De Cordoba;5.0;4.0;368.0;263.0;980000000.0;COP;Casa;Venta
124;4.68;-74.098;Bogotá D.C;Zona Occidental;Engativa;Estrada;9.0;6.0;174.0;174.0;700000000.0;COP;Casa;Venta
125;4.678999999999999;-74.045;Bogotá D.C;Zona Chapinero;Chapinero;Chico Norte;2.0;2.0;90.0;90.0;440000000.0;COP;Apartamento;Venta
126;4.656000000000001;-74.04899999999999;Bogotá D.C;Zona Chapinero;Chapinero;Los Rosales;1.0;2.0;74.0;74.0;530000000.0;COP;Apartamento;Venta
127;4.721;-74.028;Bogotá D.C;Zona Norte;Usaquén;Cedritos;2.0;2.0;75.0;75.0;330000000.0;COP;Apartamento;Venta
128;4.7219999999999995;-74.028;Bogotá D.C;Zona Norte;Usaquén;Cedritos;2.0;2.0;56.0;56.0;240000000.0;COP;Apartamento;Venta
129;4.728;-74.048;Bogotá D.C;Zona Norte;Usaquén;Cedritos;3.0;2.0;62.0;62.0;280000000.0;COP;Apartamento;Venta
130;4.744;-74.031;Bogotá D.C;Zona Norte;Usaquén;Santa Teresa;3.0;2.0;76.0;76.0;300000000.0;COP;Apartamento;Venta
131;4.684;-74.05199999999999;Bogotá D.C;Zona Chapinero;Chapinero;Chico Norte;3.0;3.0;254.0;254.0;1320000000.0;COP;Apartamento;Venta
132;4.704;-74.075;Bogotá D.C;Zona Noroccidental;Suba;Niza;5.0;2.0;332.0;200.0;998000000.0;COP;Casa;Venta
133;4.667;-74.133;Bogotá D.C;Zona Occidental;Fontibón;Hayuelos;4.0;2.0;90.0;90.0;335000000.0;COP;Casa;Venta
134;4.7010000000000005;-74.035;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;3.0;4.0;150.0;150.0;700000000.0;COP;Apartamento;Venta
135;4.627;-74.14699999999999;Bogotá D.C;Zona Suroccidental;Kennedy;Techo;2.0;1.0;47.0;47.0;150000000.0;COP;Apartamento;Venta
136;4.6930000000000005;-74.036;Bogotá D.C;Zona Norte;Usaquén;Santa Paula;3.0;2.0;86.0;86.0;400000000.0;COP;Apartamento;Venta
137;4.695;-74.042;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;1.0;2.0;63.0;57.0;360000000.0;COP;Apartamento;Venta
138;4.695;-74.039;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;3.0;3.0;116.0;116.0;670000000.0;COP;Apartamento;Venta
139;4.7;-74.062;Bogotá D.C;Zona Noroccidental;Suba;Alhambra;5.0;4.0;250.0;270.0;1400000000.0;COP;Casa;Venta
140;4.697;-74.041;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;3.0;4.0;158.0;158.0;980000000.0;COP;Apartamento;Venta
141;4.706;-74.03;Bogotá D.C;Zona Norte;Usaquén;Bella Suiza;2.0;3.0;139.0;139.0;820000000.0;COP;Apartamento;Venta
142;4.699;-74.03699999999999;Bogotá D.C;Zona Norte;Usaquén;Santa Barbara;3.0;4.0;288.0;288.0;1150000000.0;COP;Casa;Venta
143;4.659;-74.047;Bogotá D.C;Zona Chapinero;Chapinero;Los Rosales;3.0;4.0;170.0;170.0;1200000000.0;COP;Apartamento;Venta
144;4.745;-74.068;Bogotá D.C;Zona Noroccidental;Suba;Colina Campestre;3.0;4.0;172.0;178.0;1200000000.0;COP;Apartamento;Venta
145;4.726;-74.03699999999999;Bogotá D.C;Zona Norte;Usaquén;Cedritos;1.0;2.0;47.0;47.0;300000000.0;COP;Apartamento;Venta
146;4.718;-74.03399999999999;Bogotá D.C;Zona Norte;Usaquén;Cedritos;2.0;2.0;63.0;63.0;296000000.0;COP;Apartamento;Venta
147;4.649;-74.06;Bogotá D.C;Zona Chapinero;Chapinero;Chapinero Central;2.0;2.0;85.0;85.0;350000000.0;COP;Apartamento;Venta
148;4.66;-74.051;Bogotá D.C;Zona Chapinero;Chapinero;Los Rosales;2.0;2.0;82.0;82.0;620000000.0;COP;Apartamento;Venta
149;4.7;-74.062;Bogotá D.C;Zona Noroccidental;Suba;Alhambra;3.0;2.0;107.0;107.0;430000000.0;COP;Apartamento;Venta
150;4.708;-74.03;Bogotá D.C;Zona Norte;Usaquén;Bella Suiza;1.0;2.0;77.0;77.0;380000000.0;COP;Apartamento;Venta
151;4.68;-74.055;Bogotá D.C;Zona Chapinero;Chapinero;Chico Reservado;3.0;4.0;170.0;170.0;1250000000.0;COP;Apartamento;Venta
152;4.715;-74.05;Bogotá D.C;Zona Norte;Usaquén;La Calleja;4.0;4.0;187.0;187.0;1250000000.0;COP;Apartamento;Venta
153;4.602;-74.14399999999999;Bogotá D.C;Zona Suroccidental;Kennedy;Las Delicias;8.0;5.0;175.0;240.0;498000000.0;COP;Casa;Venta
154;4.636;-74.148;Bogotá D.C;Zona Suroccidental;Kennedy;Castilla;3.0;1.0;55.0;55.0;160000000.0;COP;Apartamento;Venta
155;4.761;-74.039;Bogotá D.C;Zona Norte;Usaquén;San Antonio Norte;1.0;1.0;33.0;33.0;165000000.0;COP;Apartamento;Venta
156;4.683;-74.083;Bogotá D.C;Zona Occidental;Engativa;Las Ferias;2.0;2.0;51.0;51.0;310000000.0;COP;Apartamento;Venta
157;4.644;-74.15;Bogotá D.C;Zona Suroccidental;Kennedy;Castilla;3.0;2.0;51.0;51.0;185000000.0;COP;Apartamento;Venta
158;4.636;-74.123;Bogotá D.C;Zona Suroccidental;Kennedy;Villa Alsacia;3.0;2.0;96.0;85.0;500000000.0;COP;Apartamento;Venta
159;4.664;-74.133;Bogotá D.C;Zona Occidental;Fontibón;Hayuelos;3.0;2.0;92.0;92.0;400000000.0;COP;Apartamento;Venta
160;4.6930000000000005;-74.044;Bogotá D.C;Zona Norte;Usaquén;Santa Paula;3.0;2.0;214.0;214.0;879000000.0;COP;Apartamento;Venta
161;4.705;-74.059;Bogotá D.C;Zona Noroccidental;Suba;El Batán;3.0;3.0;114.0;125.0;525000000.0;COP;Apartamento;Venta
162;4.643;-74.161;Bogotá D.C;Zona Suroccidental;Kennedy;Patio Bonito;7.0;4.0;98.0;231.0;340000000.0;COP;Casa;Venta
163;4.671;-74.111;Bogotá D.C;Zona Occidental;Engativa;Normandia;5.0;4.0;125.0;300.0;840000000.0;COP;Casa;Venta
164;4.709;-74.032;Bogotá D.C;Zona Norte;Usaquén;Bella Suiza;1.0;2.0;80.0;80.0;450000000.0;COP;Apartamento;Venta
165;4.662;-74.048;Bogotá D.C;Zona Chapinero;Chapinero;Los Rosales;4.0;4.0;350.0;350.0;4100000000.0;COP;Apartamento;Venta
166;4.681;-74.046;Bogotá D.C;Zona Chapinero;Chapinero;Chico Norte Ii;2.0;2.0;82.0;82.0;640000000.0;COP;Apartamento;Venta
167;4.724;-74.03;Bogotá D.C;Zona Norte;Usaquén;Cedritos;3.0;3.0;100.0;100.0;420000000.0;COP;Apartamento;Venta
168;4.655;-74.062;Bogotá D.C;Zona Chapinero;Chapinero;Quinta Camacho;5.0;5.0;450.0;377.0;1490000000.0;COP;Casa;Venta
169;4.646;-74.055;Bogotá D.C;Zona Chapinero;Chapinero;Chapinero Alto;2.0;1.0;48.0;48.0;230000000.0;COP;Apartamento;Venta
170;4.677;-74.055;Bogotá D.C;Zona Chapinero;Chapinero;Chico Reservado;3.0;4.0;94.0;94.0;520000000.0;COP;Apartamento;Venta
171;4.703;-74.057;Bogotá D.C;Zona Noroccidental;Suba;El Batán;5.0;3.0;175.0;253.0;800000000.0;COP;Casa;Venta
172;4.695;-74.066;Bogotá D.C;Zona Noroccidental;Suba;Puente Largo;3.0;3.0;75.0;75.0;395000000.0;COP;Apartamento;Venta
173;4.725;-74.039;Bogotá D.C;Zona Norte;Usaquén;Cedritos;2.0;3.0;81.0;81.0;450000000.0;COP;Apartamento;Venta
174;4.666;-74.119;Bogotá D.C;Zona Occidental;Fontibón;Modelia;4.0;3.0;296.0;310.0;1200000000.0;COP;Casa;Venta
175;4.702;-74.06;Bogotá D.C;Zona Noroccidental;Suba;Alhambra;4.0;4.0;322.0;279.0;950000000.0;COP;Casa;Venta
176;4.678999999999999;-74.055;Bogotá D.C;Zona Chapinero;Chapinero;Chico Norte;1.0;1.0;57.0;57.0;445000000.0;COP;Apartamento;Venta
177;4.635;-74.094;Bogotá D.C;Zona Chapinero;Teusaquillo;Quinta Paredes;3.0;2.0;85.0;84.0;420000000.0;COP;Apartamento;Venta
178;4.721;-74.036;Bogotá D.C;Zona Norte;Usaquén;Cedritos;1.0;2.0;51.0;51.0;350000000.0;COP;Apartamento;Venta
179;4.727;-74.038;Bogotá D.C;Zona Norte;Usaquén;Cedritos;3.0;2.0;70.0;70.0;350000000.0;COP;Apartamento;Venta
